Date-Time,Value,Unit,Commodity
1/1/24,203.8791304,Cents per Pound,Coffee
12/1/23,210.3104762,Cents per Pound,Coffee
11/1/23,197.4331818,Cents per Pound,Coffee
10/1/23,183.9513636,Cents per Pound,Coffee
9/1/23,183.5890476,Cents per Pound,Coffee
8/1/23,186.3469565,Cents per Pound,Coffee
7/1/23,193.4942857,Cents per Pound,Coffee
6/1/23,207.385,Cents per Pound,Coffee
5/1/23,220.1213043,Cents per Pound,Coffee
4/1/23,229.9555,Cents per Pound,Coffee
3/1/23,222.663913,Cents per Pound,Coffee
2/1/23,229.506,Cents per Pound,Coffee
1/1/23,206.76,Cents per Pound,Coffee
12/1/22,210.3886364,Cents per Pound,Coffee
11/1/22,213.7181818,Cents per Pound,Coffee
10/1/22,240.082381,Cents per Pound,Coffee
9/1/22,267.4922727,Cents per Pound,Coffee
8/1/22,268.4834783,Cents per Pound,Coffee
7/1/22,255.9066667,Cents per Pound,Coffee
6/1/22,273.7636364,Cents per Pound,Coffee
5/1/22,260.4495455,Cents per Pound,Coffee
4/1/22,265.397619,Cents per Pound,Coffee
3/1/22,258.9934783,Cents per Pound,Coffee
2/1/22,279.8335,Cents per Pound,Coffee
1/1/22,271.0814286,Cents per Pound,Coffee
12/1/21,268.3291304,Cents per Pound,Coffee
11/1/21,258.9781818,Cents per Pound,Coffee
10/1/21,241.0733333,Cents per Pound,Coffee
9/1/21,225.5368182,Cents per Pound,Coffee
8/1/21,216.4345455,Cents per Pound,Coffee
7/1/21,204.5009091,Cents per Pound,Coffee
6/1/21,192.0645455,Cents per Pound,Coffee
5/1/21,186.4628571,Cents per Pound,Coffee
4/1/21,168.6486364,Cents per Pound,Coffee
3/1/21,167.0508696,Cents per Pound,Coffee
2/1/21,166.429,Cents per Pound,Coffee
1/1/21,160.8195238,Cents per Pound,Coffee
12/1/20,157.9526087,Cents per Pound,Coffee
11/1/20,150.7261905,Cents per Pound,Coffee
10/1/20,152.0568182,Cents per Pound,Coffee
9/1/20,166.5645455,Cents per Pound,Coffee
8/1/20,163.0714286,Cents per Pound,Coffee
7/1/20,146.7808696,Cents per Pound,Coffee
6/1/20,141.52,Cents per Pound,Coffee
5/1/20,149.9161905,Cents per Pound,Coffee
4/1/20,154.6304545,Cents per Pound,Coffee
3/1/20,148.3272727,Cents per Pound,Coffee
2/1/20,135.5005,Cents per Pound,Coffee
1/1/20,142.9365217,Cents per Pound,Coffee
12/1/19,156.0290909,Cents per Pound,Coffee
11/1/19,140.9814286,Cents per Pound,Coffee
10/1/19,127.0513043,Cents per Pound,Coffee
9/1/19,128.8942857,Cents per Pound,Coffee
8/1/19,126.2795455,Cents per Pound,Coffee
7/1/19,135.4704348,Cents per Pound,Coffee
6/1/19,129.7235,Cents per Pound,Coffee
5/1/19,120.5491304,Cents per Pound,Coffee
4/1/19,120.9904545,Cents per Pound,Coffee
3/1/19,123.8885714,Cents per Pound,Coffee
2/1/19,128.454,Cents per Pound,Coffee
1/1/19,128.3573913,Cents per Pound,Coffee
12/1/18,127.0585714,Cents per Pound,Coffee
11/1/18,137.1077273,Cents per Pound,Coffee
10/1/18,137.3417391,Cents per Pound,Coffee
9/1/18,121.18,Cents per Pound,Coffee
8/1/18,125.2108696,Cents per Pound,Coffee
7/1/18,130.5986364,Cents per Pound,Coffee
6/1/18,134.0338095,Cents per Pound,Coffee
5/1/18,135.6095652,Cents per Pound,Coffee
4/1/18,134.3395238,Cents per Pound,Coffee
3/1/18,134.9390909,Cents per Pound,Coffee
2/1/18,136.2835,Cents per Pound,Coffee
1/1/18,138.876087,Cents per Pound,Coffee
12/1/17,137.3061905,Cents per Pound,Coffee
11/1/17,140.9040909,Cents per Pound,Coffee
10/1/17,140.7095455,Cents per Pound,Coffee
9/1/17,146.5604762,Cents per Pound,Coffee
8/1/17,149.8773913,Cents per Pound,Coffee
7/1/17,149.8028571,Cents per Pound,Coffee
6/1/17,143.2227273,Cents per Pound,Coffee
5/1/17,150,Cents per Pound,Coffee
4/1/17,155.574,Cents per Pound,Coffee
3/1/17,160.1504348,Cents per Pound,Coffee
2/1/17,166.351,Cents per Pound,Coffee
1/1/17,168.6127273,Cents per Pound,Coffee
12/1/16,161.7809091,Cents per Pound,Coffee
11/1/16,184.1154545,Cents per Pound,Coffee
10/1/16,178.9552381,Cents per Pound,Coffee
9/1/16,176.2954545,Cents per Pound,Coffee
8/1/16,167.5413043,Cents per Pound,Coffee
7/1/16,171.7638095,Cents per Pound,Coffee
6/1/16,165.4522727,Cents per Pound,Coffee
5/1/16,155.1945455,Cents per Pound,Coffee
4/1/16,154.217619,Cents per Pound,Coffee
3/1/16,157.6313043,Cents per Pound,Coffee
2/1/16,147.6971429,Cents per Pound,Coffee
1/1/16,145.4347619,Cents per Pound,Coffee
12/1/15,148.6121739,Cents per Pound,Coffee
11/1/15,147.9785714,Cents per Pound,Coffee
10/1/15,153.2504545,Cents per Pound,Coffee
9/1/15,146.1468182,Cents per Pound,Coffee
8/1/15,156.9233333,Cents per Pound,Coffee
7/1/15,154.4465217,Cents per Pound,Coffee
6/1/15,159.755,Cents per Pound,Coffee
5/1/15,158.4828571,Cents per Pound,Coffee
4/1/15,163.9977273,Cents per Pound,Coffee
3/1/15,160.7359091,Cents per Pound,Coffee
2/1/15,178.8885,Cents per Pound,Coffee
1/1/15,189.6263636,Cents per Pound,Coffee
12/1/14,193.386087,Cents per Pound,Coffee
11/1/14,209.376,Cents per Pound,Coffee
10/1/14,225.2856522,Cents per Pound,Coffee
9/1/14,210.5263636,Cents per Pound,Coffee
8/1/14,212.9652381,Cents per Pound,Coffee
7/1/14,196.8952174,Cents per Pound,Coffee
6/1/14,197.8909524,Cents per Pound,Coffee
5/1/14,214.2027273,Cents per Pound,Coffee
4/1/14,223.4940909,Cents per Pound,Coffee
3/1/14,214.0866667,Cents per Pound,Coffee
2/1/14,173.6435,Cents per Pound,Coffee
1/1/14,132.5182609,Cents per Pound,Coffee
12/1/13,125.7354545,Cents per Pound,Coffee
11/1/13,122.0180952,Cents per Pound,Coffee
10/1/13,128.6986957,Cents per Pound,Coffee
9/1/13,132.2814286,Cents per Pound,Coffee
8/1/13,135.1540909,Cents per Pound,Coffee
7/1/13,138.3873913,Cents per Pound,Coffee
6/1/13,138.2595,Cents per Pound,Coffee
5/1/13,147.186087,Cents per Pound,Coffee
4/1/13,149.7868182,Cents per Pound,Coffee
3/1/13,149.8080952,Cents per Pound,Coffee
2/1/13,149.459,Cents per Pound,Coffee
1/1/13,157.0373913,Cents per Pound,Coffee
12/1/12,152.707619,Cents per Pound,Coffee
11/1/12,159.9063636,Cents per Pound,Coffee
10/1/12,173.3173913,Cents per Pound,Coffee
9/1/12,178.977,Cents per Pound,Coffee
8/1/12,174.8243478,Cents per Pound,Coffee
7/1/12,190.4459091,Cents per Pound,Coffee
6/1/12,168.6866667,Cents per Pound,Coffee
5/1/12,184.3647826,Cents per Pound,Coffee
4/1/12,191.4485714,Cents per Pound,Coffee
3/1/12,201.2559091,Cents per Pound,Coffee
2/1/12,224.157619,Cents per Pound,Coffee
1/1/12,237.2068182,Cents per Pound,Coffee
12/1/11,236.2977273,Cents per Pound,Coffee
11/1/11,245.0872727,Cents per Pound,Coffee
10/1/11,247.8238095,Cents per Pound,Coffee
9/1/11,274.8804545,Cents per Pound,Coffee
8/1/11,270.4404348,Cents per Pound,Coffee
7/1/11,268.0214286,Cents per Pound,Coffee
6/1/11,274.9809091,Cents per Pound,Coffee
5/1/11,291.0659091,Cents per Pound,Coffee
4/1/11,300.4771429,Cents per Pound,Coffee
3/1/11,292.0673913,Cents per Pound,Coffee
2/1/11,288.3885,Cents per Pound,Coffee
1/1/11,263.7657143,Cents per Pound,Coffee
12/1/10,249.443913,Cents per Pound,Coffee
11/1/10,233.5127273,Cents per Pound,Coffee
10/1/10,217.4390476,Cents per Pound,Coffee
9/1/10,222.7131818,Cents per Pound,Coffee
8/1/10,211.59,Cents per Pound,Coffee
7/1/10,203.2136364,Cents per Pound,Coffee
6/1/10,190.9031818,Cents per Pound,Coffee
5/1/10,173.3690476,Cents per Pound,Coffee
4/1/10,169.3895455,Cents per Pound,Coffee
3/1/10,164.5026087,Cents per Pound,Coffee
2/1/10,157.8565,Cents per Pound,Coffee
1/1/10,158.6557143,Cents per Pound,Coffee
12/1/09,157.943913,Cents per Pound,Coffee
11/1/09,152.2104762,Cents per Pound,Coffee
10/1/09,154.5722727,Cents per Pound,Coffee
9/1/09,148.51,Cents per Pound,Coffee
8/1/09,149.7619048,Cents per Pound,Coffee
7/1/09,140.8978261,Cents per Pound,Coffee
6/1/09,149.7813636,Cents per Pound,Coffee
5/1/09,150.492381,Cents per Pound,Coffee
4/1/09,135.0781818,Cents per Pound,Coffee
3/1/09,128.52,Cents per Pound,Coffee
2/1/09,129.4815,Cents per Pound,Coffee
1/1/09,127.8072727,Cents per Pound,Coffee
12/1/08,118.7921739,Cents per Pound,Coffee
11/1/08,121.886,Cents per Pound,Coffee
10/1/08,123.5869565,Cents per Pound,Coffee
9/1/08,143.2690909,Cents per Pound,Coffee
8/1/08,146.4280952,Cents per Pound,Coffee
7/1/08,147.3569565,Cents per Pound,Coffee
6/1/08,146.1495238,Cents per Pound,Coffee
5/1/08,142.0436364,Cents per Pound,Coffee
4/1/08,140.7045455,Cents per Pound,Coffee
3/1/08,149.2204762,Cents per Pound,Coffee
2/1/08,157.2895238,Cents per Pound,Coffee
1/1/08,139.8226087,Cents per Pound,Coffee
12/1/07,138.0428571,Cents per Pound,Coffee
11/1/07,131.0454545,Cents per Pound,Coffee
10/1/07,134.2908696,Cents per Pound,Coffee
9/1/07,128.0435,Cents per Pound,Coffee
8/1/07,123.1508696,Cents per Pound,Coffee
7/1/07,117.6331818,Cents per Pound,Coffee
6/1/07,119.3280952,Cents per Pound,Coffee
5/1/07,113.3269565,Cents per Pound,Coffee
4/1/07,114.6947619,Cents per Pound,Coffee
3/1/07,117.0836364,Cents per Pound,Coffee
2/1/07,122.032,Cents per Pound,Coffee
1/1/07,124.6943478,Cents per Pound,Coffee
12/1/06,128.3561905,Cents per Pound,Coffee
11/1/06,122.2654545,Cents per Pound,Coffee
10/1/06,110.6331818,Cents per Pound,Coffee
9/1/06,109.8266667,Cents per Pound,Coffee
8/1/06,111.73,Cents per Pound,Coffee
7/1/06,104.997619,Cents per Pound,Coffee
6/1/06,103.1495455,Cents per Pound,Coffee
5/1/06,109.6295652,Cents per Pound,Coffee
4/1/06,115.3375,Cents per Pound,Coffee
3/1/06,113.6604348,Cents per Pound,Coffee
2/1/06,119.1215,Cents per Pound,Coffee
